Service: NighttimeArea,  Device: 14 numTimegetDeviceOff: 1

Service: NighttimeArea,  Device: 15 numTimegetDeviceOff: 1

Service: InsertAlarm,  Device: 23 numTimegetDeviceOff: 0

Service: InsertAlarm,  Device: 24 numTimegetDeviceOff: 0

Service: InsertAlarm,  Device: 25 numTimegetDeviceOff: 0

Service: InsertAlarm,  Device: 26 numTimegetDeviceOff: 0

Service: InsertAlarm,  Device: 27 numTimegetDeviceOff: 0

Service: OnAllLights,  Device: 1 numNumEnergySaving: 1

Service: OnAllLights,  Device: 2 numNumEnergySaving: 0

Service: OnAllLights,  Device: 3 numNumEnergySaving: 1

Service: OnAllLights,  Device: 4 numNumEnergySaving: 0

Service: OnAllLights,  Device: 5 numNumEnergySaving: 0

Service: OnAllLights,  Device: 6 numNumEnergySaving: 0

Service: OnAllLights,  Device: 7 numNumEnergySaving: 0

Service: OnAllLights,  Device: 8 numNumEnergySaving: 0

Service: OnAllLights,  Device: 9 numNumEnergySaving: 0

Service: OnAllLights,  Device: 10 numNumEnergySaving: 0

Service: OnAllLights,  Device: 11 numNumEnergySaving: 0

Service: OnAllLights,  Device: 12 numNumEnergySaving: 0

Service: OnAllLights,  Device: 13 numNumEnergySaving: 0

Service: OnAllLights,  Device: 14 numNumEnergySaving: 0

Service: OnAllLights,  Device: 15 numNumEnergySaving: 0

Service: OnAllLights,  Device: 16 numNumEnergySaving: 0

Service: OnAllLights,  Device: 17 numNumEnergySaving: 0

Service: OnLightsBathroom,  Device: 1 numNumEnergySaving: 1

Service: OnLightsBathroom,  Device: 3 numNumEnergySaving: 1

Service: OnLightsKitchen,  Device: 2 numNumEnergySaving: 0

Service: OnLightsKitchen,  Device: 4 numNumEnergySaving: 0

Service: OnLightsLiving,  Device: 5 numNumEnergySaving: 0

Service: OnLightsLiving,  Device: 6 numNumEnergySaving: 0

Service: OnLightsLiving,  Device: 7 numNumEnergySaving: 0

Service: OnLightsLiving,  Device: 8 numNumEnergySaving: 0

Service: OnLightsHallway,  Device: 9 numNumEnergySaving: 0

Service: OnLightsHallway,  Device: 10 numNumEnergySaving: 0

Service: OnLightsCorridor,  Device: 11 numNumEnergySaving: 0

Service: OnLightsBedroom1,  Device: 14 numNumEnergySaving: 0

Service: OnLightsBedroom1,  Device: 15 numNumEnergySaving: 0

Service: OnLightsBedroom2,  Device: 12 numNumEnergySaving: 0

Service: OnLightsBedroom2,  Device: 13 numNumEnergySaving: 0

Service: OnHomeOffice,  Device: 16 numNumEnergySaving: 0

Service: OnHomeOffice,  Device: 17 numNumEnergySaving: 0

Service: NighttimeArea,  Device: 11 numNumEnergySaving: 0

Service: NighttimeArea,  Device: 12 numNumEnergySaving: 0

Service: NighttimeArea,  Device: 13 numNumEnergySaving: 0

Service: NighttimeArea,  Device: 14 numNumEnergySaving: 0

Service: NighttimeArea,  Device: 15 numNumEnergySaving: 0

Service: InsertAlarm,  Device: 23 numNumEnergySaving: 0

Service: InsertAlarm,  Device: 24 numNumEnergySaving: 0

Service: InsertAlarm,  Device: 25 numNumEnergySaving: 0

Service: InsertAlarm,  Device: 26 numNumEnergySaving: 0

Service: InsertAlarm,  Device: 27 numNumEnergySaving: 0

Service: OnAllLights,  Device: 1 numMaxLuminosity: 0

Service: OnAllLights,  Device: 2 numMaxLuminosity: 0

Service: OnAllLights,  Device: 3 numMaxLuminosity: 0

Service: OnAllLights,  Device: 4 numMaxLuminosity: 0

Service: OnAllLights,  Device: 5 numMaxLuminosity: 0

Service: OnAllLights,  Device: 6 numMaxLuminosity: 0

Service: OnAllLights,  Device: 7 numMaxLuminosity: 0

